Country Code,Series Code
AFG,AG.CON.FERT.ZS
AFG,BM.KLT.DINV.WD.GD.ZS
AFG,BX.KLT.DINV.WD.GD.ZS
AFG,DT.DOD.DSTC.IR.ZS
AFG,DT.DOD.DSTC.XP.ZS
AFG,DT.DOD.DSTC.ZS
AFG,DT.TDS.DECT.EX.ZS
AFG,DT.TDS.DECT.GN.ZS
AFG,EG.ELC.RNEW.ZS
AFG,EG.ELC.RNWX.KH
AFG,EG.ELC.RNWX.ZS
AFG,EG.FEC.RNEW.ZS
AFG,EG.GDP.PUSE.KO.PP
AFG,EG.GDP.PUSE.KO.PP.KD
AFG,EG.USE.COMM.GD.PP.KD
AFG,EG.USE.CRNW.ZS
AFG,EG.USE.ELEC.KH.PC
AFG,EG.USE.PCAP.KG.OE
AFG,EN.CLC.MDAT.ZS
AFG,EN.GHG.CO2.AG.MT.CE.AR5
AFG,EN.GHG.CO2.BU.MT.CE.AR5
AFG,EN.GHG.CO2.FE.MT.CE.AR5
AFG,EN.GHG.CO2.IC.MT.CE.AR5
AFG,EN.GHG.CO2.IP.MT.CE.AR5
AFG,EN.GHG.CO2.LU.DF.MT.CE.AR5
AFG,EN.GHG.CO2.LU.FL.MT.CE.AR5
AFG,EN.GHG.CO2.LU.MT.CE.AR5
AFG,EN.GHG.CO2.LU.OL.MT.CE.AR5
AFG,EN.GHG.CO2.MT.CE.AR5
AFG,EN.GHG.CO2.PC.CE.AR5
AFG,EN.GHG.CO2.PI.MT.CE.AR5
AFG,EN.GHG.CO2.RT.GDP.KD
AFG,EN.GHG.CO2.RT.GDP.PP.KD
AFG,EN.GHG.CO2.TR.MT.CE.AR5
AFG,EN.GHG.CO2.WA.MT.CE.AR5
AFG,EN.GHG.CO2.ZG.AR5
AFG,ER.H2O.INTR.K3
AFG,ER.H2O.INTR.PC
AFG,FI.RES.TOTL.DT.ZS
AFG,FP.CPI.TOTL.ZG
AFG,GC.DOD.TOTL.CN
AFG,GC.DOD.TOTL.GD.ZS
AFG,IT.MLT.MAIN.P2
AFG,IT.NET.BBND.P2
AFG,MS.MIL.TOTL.TF.ZS
AFG,NE.CON.GOVT.ZS
AFG,NE.CON.TOTL.ZS
AFG,NE.DAB.TOTL.ZS
AFG,NE.GDI.FPRV.ZS
AFG,NE.GDI.FTOT.ZS
AFG,NE.GDI.TOTL.ZS
AFG,NY.ADJ.DCO2.CD
AFG,NY.ADJ.DCO2.GN.ZS
AFG,NY.GDP.DEFL.KD.ZG
AFG,NY.GDP.DEFL.KD.ZG.AD
AFG,NY.GDP.FCST.CD
AFG,NY.GDP.FCST.CN
AFG,NY.GDP.FCST.KD
AFG,NY.GDP.FCST.KN
AFG,NY.GDP.FRST.RT.ZS
AFG,NY.GDP.MKTP.CD
AFG,NY.GDP.MKTP.CN
